func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,128,600,0,2.940090,6.728021,6.741951,7.736723,7.761138,0.585435,0.585923
tanh,Single-threaded,1,128,700,0,2.872897,7.833946,7.850028,9.019696,9.048227,0.683778,0.684352
tanh,Single-threaded,1,128,800,0,2.881340,8.952635,8.970858,10.318414,10.351122,0.781022,0.781686
tanh,Single-threaded,1,128,900,0,2.786334,10.071164,10.091523,11.613992,11.650707,0.880007,0.880748
tanh,Single-threaded,1,128,1000,0,2.756108,11.187006,11.209494,12.903240,12.943968,0.977572,0.978393
tanh,Single-threaded,1,200,0,0,4.457223,0.068456,0.068549,0.030788,0.030850,0.002545,0.002546
tanh,Single-threaded,1,200,100,0,3.784617,2.403462,2.406600,2.978594,2.984566,0.232368,0.232492
tanh,Single-threaded,1,200,200,0,3.354045,4.731598,4.737612,5.934346,5.945985,0.464565,0.464797
tanh,Single-threaded,1,200,300,0,3.154369,7.063130,7.071873,8.913424,8.930664,0.705719,0.706066
tanh,Single-threaded,1,200,400,0,3.016741,9.418191,9.429703,12.452031,12.477806,0.961725,0.962177
tanh,Single-threaded,1,200,500,0,2.927618,11.766190,11.780605,15.448766,15.480563,1.205005,1.205562
tanh,Single-threaded,1,200,600,0,2.857585,14.111913,14.129245,18.427483,18.464853,1.443499,1.444203
tanh,Single-threaded,1,200,700,0,2.788255,16.455014,16.475335,21.408589,21.451603,1.684763,1.685576
tanh,Single-threaded,1,200,800,0,2.799341,18.807596,18.830790,24.418164,24.466926,1.930573,1.931499
tanh,Single-threaded,1,200,900,0,2.699241,21.158005,21.183955,27.422976,27.477216,2.174790,2.175824
tanh,Single-threaded,1,200,1000,0,2.666176,23.505990,23.534710,30.421761,30.481630,2.416336,2.417482
tanh,Single-threaded,1,256,0,0,4.444401,0.104808,0.104902,0.056345,0.056453,0.003707,0.003708
tanh,Single-threaded,1,256,100,0,3.734100,3.664606,3.667633,5.424275,5.432734,0.406165,0.406316
tanh,Single-threaded,1,256,200,0,3.338674,7.239433,7.245334,12.172004,12.190200,0.836284,0.836600
tanh,Single-threaded,1,256,300,0,3.160987,10.798803,10.807576,18.894737,18.921517,1.274526,1.275005
tanh,Single-threaded,1,256,400,0,3.035594,14.355701,14.367508,25.511984,25.546953,1.705094,1.705745
tanh,Single-threaded,1,256,500,0,2.944491,17.926605,17.941343,32.072645,32.116021,2.131191,2.132006
tanh,Single-threaded,1,256,600,0,2.861211,21.523408,21.541336,39.064346,39.116390,2.573002,2.574001
tanh,Single-threaded,1,256,700,0,2.779872,25.127885,25.148846,47.239657,47.301619,3.030077,3.031247
tanh,Single-threaded,1,256,800,0,2.780490,28.729950,28.753910,55.494774,55.566265,3.499914,3.501260
