func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,128,600,0,2.945738,8.344105,8.442186,7.666762,7.761808,0.278273,0.281248
tanh,Single-threaded,1,128,700,0,2.879372,9.720685,9.836423,8.935972,9.047528,0.324775,0.328276
tanh,Single-threaded,1,128,800,0,2.882405,11.097402,11.228994,10.204228,10.331429,0.372019,0.376041
tanh,Single-threaded,1,128,900,0,2.790238,12.470690,12.617742,11.471352,11.613475,0.419708,0.424212
tanh,Single-threaded,1,128,1000,0,2.754784,13.844044,14.007190,12.729256,12.885163,0.465389,0.470385
tanh,Single-threaded,1,200,0,0,4.477315,0.087301,0.088251,0.031809,0.032178,0.001011,0.001012
tanh,Single-threaded,1,200,100,0,3.802798,3.020170,3.045951,3.107008,3.133169,0.100250,0.101114
tanh,Single-threaded,1,200,200,0,3.370656,5.951365,6.002510,6.200061,6.253592,0.197760,0.199271
tanh,Single-threaded,1,200,300,0,3.181126,8.887253,8.964897,9.286990,9.367974,0.296847,0.299070
tanh,Single-threaded,1,200,400,0,3.054099,11.769845,11.864753,12.321525,12.421798,0.395341,0.398305
tanh,Single-threaded,1,200,500,0,2.958820,14.635383,14.746239,15.318324,15.434413,0.492783,0.496286
tanh,Single-threaded,1,200,600,0,2.878169,17.501207,17.627676,18.327872,18.460082,0.590064,0.594198
tanh,Single-threaded,1,200,700,0,2.795855,20.370045,20.511885,21.329369,21.477702,0.687356,0.692038
tanh,Single-threaded,1,200,800,0,2.792498,23.235920,23.393486,24.351189,24.516242,0.784670,0.789753
tanh,Single-threaded,1,200,900,0,2.692053,26.100818,26.273617,27.365921,27.548698,0.883002,0.888592
tanh,Single-threaded,1,200,1000,0,2.659900,28.970326,29.159014,30.376662,30.576392,0.978933,0.984880
tanh,Single-threaded,1,256,0,0,4.468254,0.133397,0.133880,0.057733,0.057913,0.001574,0.001575
tanh,Single-threaded,1,256,100,0,3.762938,4.648460,4.666979,5.815760,5.834553,0.140540,0.140777
tanh,Single-threaded,1,256,200,0,3.347682,9.159474,9.196295,11.547257,11.584515,0.279915,0.280339
tanh,Single-threaded,1,256,300,0,3.157951,13.673093,13.727422,17.318628,17.374902,0.418768,0.419502
tanh,Single-threaded,1,256,400,0,3.019317,18.187640,18.260701,23.061304,23.136441,0.555803,0.556752
tanh,Single-threaded,1,256,500,0,2.920908,22.705727,22.797008,28.830567,28.924074,0.693394,0.694617
tanh,Single-threaded,1,256,600,0,2.838310,27.118837,27.222472,33.956578,34.062860,0.821155,0.822554
tanh,Single-threaded,1,256,700,0,2.757591,31.422481,31.529721,38.437832,38.547711,0.939382,0.940947
