func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,128,500,0,2.989984,10.082564,4.841867,9.238207,5.111204,0.356049,0.141304
tanh,Multi-threaded,1,128,600,0,2.916157,12.086945,5.806359,11.082808,6.133171,0.427168,0.170784
tanh,Multi-threaded,1,128,700,0,2.849628,14.078371,6.777273,12.922491,7.154586,0.497237,0.199292
tanh,Multi-threaded,1,128,800,0,2.859704,16.073845,7.742747,14.759939,8.175070,0.567647,0.227337
tanh,Multi-threaded,1,128,900,0,2.757505,18.083073,8.711036,16.602939,9.194872,0.638686,0.256182
tanh,Multi-threaded,1,128,1000,0,2.728926,20.077452,9.674574,18.435834,10.213901,0.708862,0.285324
tanh,Multi-threaded,1,200,0,0,4.467979,0.112908,0.045066,0.042708,0.017082,0.001605,0.000582
tanh,Multi-threaded,1,200,100,0,3.788478,3.691921,1.609108,3.772434,1.576243,0.146132,0.048666
tanh,Multi-threaded,1,200,200,0,3.357614,7.265075,3.179559,7.514209,3.137557,0.287722,0.095762
tanh,Multi-threaded,1,200,300,0,3.160465,10.841377,4.742744,11.234580,4.695579,0.433681,0.144276
tanh,Multi-threaded,1,200,400,0,3.031497,14.413466,6.352262,14.960535,6.256931,0.575550,0.190978
tanh,Multi-threaded,1,200,500,0,2.940867,17.990620,7.940277,18.691840,7.817276,0.720013,0.239822
tanh,Multi-threaded,1,200,600,0,2.871154,21.565540,9.530219,22.422904,9.376891,0.862043,0.286702
tanh,Multi-threaded,1,200,700,0,2.797070,25.142124,11.136559,26.155560,10.938362,1.006161,0.334003
tanh,Multi-threaded,1,200,800,0,2.799438,28.728226,12.717405,29.891201,12.502990,1.151027,0.382935
tanh,Multi-threaded,1,200,900,0,2.701516,32.312986,14.321714,33.621623,14.065848,1.296817,0.432533
tanh,Multi-threaded,1,200,1000,0,2.670691,35.894424,15.905314,37.357282,15.626708,1.442299,0.481435
tanh,Multi-threaded,1,256,0,0,4.427083,0.159399,0.059865,0.064773,0.023945,0.002755,0.000836
tanh,Multi-threaded,1,256,100,0,3.730896,5.617182,2.062871,6.244625,2.252336,0.253853,0.079744
tanh,Multi-threaded,1,256,200,0,3.324249,11.081818,4.064491,12.476006,4.504647,0.506487,0.157481
tanh,Multi-threaded,1,256,300,0,3.131190,16.547520,6.069942,18.701095,6.751223,0.758290,0.235800
tanh,Multi-threaded,1,256,400,0,2.993406,22.029177,8.080986,24.913468,8.994645,1.011684,0.315415
tanh,Multi-threaded,1,256,500,0,2.892323,27.498691,10.089455,31.137984,11.239780,1.265859,0.394153
tanh,Multi-threaded,1,256,600,0,2.813044,32.968014,12.096078,37.359878,13.486250,1.518400,0.472685
tanh,Multi-threaded,1,256,700,0,2.740853,38.447341,14.106308,43.589078,15.735065,1.772177,0.551512
