func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Single-threaded,1,128,600,0,2.901758,6.467081,6.480198,7.229533,7.247986,0.362604,0.362880
tanh,Single-threaded,1,128,700,0,2.833293,7.526859,7.542248,8.417015,8.438398,0.419779,0.420093
tanh,Single-threaded,1,128,800,0,2.833336,8.580242,8.597691,9.600423,9.624799,0.476272,0.476631
tanh,Single-threaded,1,128,900,0,2.737640,9.629938,9.649527,10.779592,10.806883,0.533216,0.533613
tanh,Single-threaded,1,128,1000,0,2.705071,10.674590,10.696363,11.954200,11.984486,0.589687,0.590126
tanh,Single-threaded,1,200,0,0,4.461442,0.063109,0.063207,0.026238,0.026272,0.003148,0.003148
tanh,Single-threaded,1,200,100,0,3.795059,2.189797,2.192313,2.558527,2.561797,0.155388,0.155480
tanh,Single-threaded,1,200,200,0,3.360401,4.306181,4.310990,5.085022,5.091639,0.306529,0.306690
tanh,Single-threaded,1,200,300,0,3.168873,6.425113,6.432331,7.616141,7.626019,0.458440,0.458658
tanh,Single-threaded,1,200,400,0,3.035852,8.546431,8.555931,10.140491,10.153644,0.611732,0.612036
tanh,Single-threaded,1,200,500,0,2.946488,10.649335,10.661061,12.638972,12.655413,0.761843,0.762204
tanh,Single-threaded,1,200,600,0,2.871446,12.743347,12.757276,15.128113,15.147818,0.910573,0.910993
tanh,Single-threaded,1,200,700,0,2.800114,14.835626,14.851786,17.617694,17.640592,1.058346,1.058854
tanh,Single-threaded,1,200,800,0,2.804651,16.925938,16.944289,20.103918,20.130122,1.206662,1.207245
tanh,Single-threaded,1,200,900,0,2.703738,19.016350,19.036891,22.588774,22.618159,1.354328,1.354977
tanh,Single-threaded,1,200,1000,0,2.671277,21.109823,21.132579,25.071581,25.104159,1.502320,1.503029
tanh,Single-threaded,1,256,0,0,4.432305,0.094653,0.094748,0.045980,0.046022,0.004775,0.004783
tanh,Single-threaded,1,256,100,0,3.733064,3.253415,3.256061,4.370977,4.375265,0.257860,0.258011
tanh,Single-threaded,1,256,200,0,3.339846,6.410587,6.415440,8.682240,8.690919,0.512157,0.512403
tanh,Single-threaded,1,256,300,0,3.158646,9.571706,9.578852,13.007232,13.020362,0.765955,0.766305
tanh,Single-threaded,1,256,400,0,3.024167,12.734501,12.743913,17.336331,17.353864,1.018361,1.018820
tanh,Single-threaded,1,256,500,0,2.927304,15.901285,15.912801,21.673125,21.694936,1.271816,1.272373
tanh,Single-threaded,1,256,600,0,2.850181,19.068945,19.082644,26.006631,26.032779,1.523249,1.523914
tanh,Single-threaded,1,256,700,0,2.776726,22.280784,22.296894,30.642946,30.673834,1.788010,1.788833
tanh,Single-threaded,1,256,800,0,2.777631,25.557593,25.576110,35.383969,35.419420,2.057241,2.058162
tanh,Single-threaded,1,256,900,0,2.680269,28.754275,28.774984,39.885363,39.925374,2.315848,2.316872
tanh,Single-threaded,1,256,1000,0,2.650343,32.001185,32.024360,44.594481,44.639155,2.585453,2.586579
tanh,Single-threaded,2,16,0,0,4.455852,0.002547,0.002604,0.000761,0.000763,0.000043,0.000044
tanh,Single-threaded,2,16,100,0,4.327169,0.087191,0.088939,0.077946,0.080107,0.004036,0.004061
tanh,Single-threaded,2,16,200,0,4.016757,0.172519,0.175928,0.155128,0.159311,0.008019,0.008071
tanh,Single-threaded,2,16,300,0,3.670476,0.258426,0.263504,0.232204,0.238638,0.012056,0.012142
tanh,Single-threaded,2,16,400,0,3.376884,0.344720,0.351479,0.309138,0.317643,0.016034,0.016145
tanh,Single-threaded,2,16,500,0,3.199593,0.431396,0.439787,0.386208,0.396897,0.020147,0.020282
tanh,Single-threaded,2,16,600,0,3.092581,0.519012,0.529101,0.463195,0.476029,0.024163,0.024325
tanh,Single-threaded,2,16,700,0,3.028659,0.606476,0.618136,0.540712,0.555951,0.028226,0.028410
tanh,Single-threaded,2,16,800,0,3.048619,0.692417,0.705646,0.617566,0.634860,0.032266,0.032477
tanh,Single-threaded,2,16,900,0,2.975197,0.779092,0.793987,0.694395,0.713842,0.036314,0.036556
tanh,Single-threaded,2,16,1000,0,2.960492,0.866827,0.883327,0.773260,0.794766,0.040353,0.040629
tanh,Single-threaded,2,32,0,0,4.497137,0.006398,0.006460,0.002287,0.002340,0.000124,0.000124
tanh,Single-threaded,2,32,100,0,4.228246,0.227254,0.229640,0.229776,0.233136,0.011900,0.011936
tanh,Single-threaded,2,32,200,0,3.690443,0.437708,0.442810,0.445716,0.452390,0.023023,0.023085
tanh,Single-threaded,2,32,300,0,3.376534,0.652601,0.660388,0.665770,0.675962,0.034460,0.034585
tanh,Single-threaded,2,32,400,0,3.200923,0.869093,0.879399,0.889909,0.903400,0.045938,0.046112
tanh,Single-threaded,2,32,500,0,3.111788,1.083485,1.096273,1.107958,1.125049,0.057171,0.057372
tanh,Single-threaded,2,32,600,0,3.043064,1.295392,1.310840,1.323219,1.343989,0.068197,0.068525
tanh,Single-threaded,2,32,700,0,2.981233,1.506824,1.524936,1.538815,1.563165,0.079297,0.079811
tanh,Single-threaded,2,32,800,0,2.987085,1.719875,1.740932,1.755105,1.782866,0.090376,0.090920
tanh,Single-threaded,2,32,900,0,2.892675,1.931851,1.955464,1.969728,2.001233,0.101320,0.101973
tanh,Single-threaded,2,32,1000,0,2.855688,2.146176,2.172433,2.186489,2.221247,0.112560,0.113267
tanh,Single-threaded,2,64,0,0,4.427569,0.021448,0.021512,0.008202,0.008232,0.000553,0.000553
tanh,Single-threaded,2,64,100,0,3.930775,0.695342,0.697738,0.758663,0.761747,0.038839,0.038880
tanh,Single-threaded,2,64,200,0,3.433504,1.365889,1.370485,1.498851,1.505018,0.076479,0.076558
tanh,Single-threaded,2,64,300,0,3.214527,2.059337,2.066274,2.263440,2.272672,0.115688,0.115804
tanh,Single-threaded,2,64,400,0,3.079773,2.755072,2.764411,3.030794,3.043250,0.155748,0.155903
tanh,Single-threaded,2,64,500,0,2.985528,3.431996,3.443709,3.775390,3.790969,0.193895,0.194079
tanh,Single-threaded,2,64,600,0,2.891561,4.132433,4.146464,4.552825,4.571565,0.235728,0.235946
tanh,Single-threaded,2,64,700,0,2.798775,4.843816,4.860167,5.334781,5.356683,0.278502,0.278757
tanh,Single-threaded,2,64,800,0,2.792010,5.534798,5.553441,6.092713,6.117814,0.317675,0.317970
tanh,Single-threaded,2,64,900,0,2.685648,6.219719,6.240677,6.849765,6.878039,0.357523,0.357851
tanh,Single-threaded,2,64,1000,0,2.653264,6.890845,6.914087,7.589018,7.620257,0.394380,0.394737
tanh,Single-threaded,2,100,0,0,4.516490,0.042887,0.042952,0.016153,0.016182,0.001993,0.001994
tanh,Single-threaded,2,100,100,0,3.827306,1.522265,1.524527,1.611378,1.614579,0.100822,0.100889
tanh,Single-threaded,2,100,200,0,3.316688,2.967173,2.971477,3.167665,3.173979,0.190139,0.190303
tanh,Single-threaded,2,100,300,0,3.061366,4.444576,4.451185,4.755944,4.765303,0.289042,0.289301
tanh,Single-threaded,2,100,400,0,2.888887,5.921066,5.930001,6.343475,6.355859,0.385782,0.386098
tanh,Single-threaded,2,100,500,0,2.790120,7.418816,7.430022,7.952599,7.968057,0.489823,0.490217
tanh,Single-threaded,2,100,600,0,2.702301,8.903706,8.917294,9.551096,9.569667,0.588505,0.588961
tanh,Single-threaded,2,100,700,0,2.630699,10.376321,10.392116,11.134456,11.156094,0.683524,0.684044
tanh,Single-threaded,2,100,800,0,2.639423,11.879451,11.897455,12.757828,12.782704,0.790062,0.790658
