func,type,layers,neurons,iteration,epoc,loss,forward_cpu,forward_time,back_cpu,back_time,adam_cpu,adam_time
tanh,Multi-threaded,1,128,500,0,2.998915,4.203382,6.343643,4.757410,7.537328,0.080886,0.189943
tanh,Multi-threaded,1,128,600,0,2.932795,5.042025,7.614297,5.704267,9.024275,0.097090,0.226925
tanh,Multi-threaded,1,128,700,0,2.863992,5.877638,8.858014,6.652103,10.515551,0.117246,0.265506
tanh,Multi-threaded,1,128,800,0,2.867336,6.711196,10.112379,7.600105,12.012358,0.136743,0.305723
tanh,Multi-threaded,1,128,900,0,2.771247,7.553827,11.385776,8.555251,13.519362,0.153527,0.344995
tanh,Multi-threaded,1,128,1000,0,2.741929,8.402666,12.671526,9.509214,15.030430,0.169982,0.383802
tanh,Multi-threaded,1,200,0,0,4.444958,0.027544,0.049595,0.012195,0.023441,0.001813,0.001151
tanh,Multi-threaded,1,200,100,0,3.769874,0.986180,1.714295,1.255752,2.447318,0.030670,0.110188
tanh,Multi-threaded,1,200,200,0,3.355909,1.953153,3.399062,2.502713,4.880343,0.075862,0.220319
tanh,Multi-threaded,1,200,300,0,3.163526,2.906567,5.059204,3.748108,7.305090,0.116828,0.329100
tanh,Multi-threaded,1,200,400,0,3.027896,3.858903,6.721315,4.983921,9.718800,0.153342,0.439266
tanh,Multi-threaded,1,200,500,0,2.935278,4.813279,8.385266,6.217922,12.142192,0.178048,0.550079
tanh,Multi-threaded,1,200,600,0,2.854240,5.766511,10.038338,7.445182,14.520059,0.230742,0.658455
tanh,Multi-threaded,1,200,700,0,2.777046,6.726462,11.696521,8.674247,16.883958,0.262429,0.763593
tanh,Multi-threaded,1,200,800,0,2.781946,7.684162,13.355090,9.894876,19.263013,0.300938,0.871784
tanh,Multi-threaded,1,200,900,0,2.685744,8.643328,15.025047,11.118603,21.653474,0.337298,0.980315
tanh,Multi-threaded,1,200,1000,0,2.657374,9.617393,16.706020,12.368345,24.087626,0.369476,1.093174
tanh,Multi-threaded,1,256,0,0,4.454355,0.030554,0.063411,0.013698,0.032656,0.000241,0.002381
tanh,Multi-threaded,1,256,100,0,3.755643,1.074777,2.138099,1.418772,3.167252,0.109733,0.219379
tanh,Multi-threaded,1,256,200,0,3.333279,2.123114,4.230294,2.844482,6.381194,0.237030,0.430946
tanh,Multi-threaded,1,256,300,0,3.130655,3.166263,6.334968,4.261841,9.587557,0.350724,0.645464
tanh,Multi-threaded,1,256,400,0,2.985622,4.218467,8.435387,5.693998,12.775356,0.455823,0.865460
tanh,Multi-threaded,1,256,500,0,2.892050,5.266299,10.553485,7.104448,16.000488,0.591591,1.083216
tanh,Multi-threaded,1,256,600,0,2.818297,6.320835,12.629844,8.535912,19.181651,0.694525,1.301806
tanh,Multi-threaded,1,256,700,0,2.744251,7.370474,14.720387,9.975887,22.398894,0.802538,1.524077
tanh,Multi-threaded,1,256,800,0,2.749540,8.416420,16.809622,11.412506,25.605416,0.918052,1.746438
tanh,Multi-threaded,1,256,900,0,2.653313,9.462219,18.891300,12.848930,28.808266,1.010416,1.970634
tanh,Multi-threaded,1,256,1000,0,2.623555,10.496275,20.951355,14.177173,31.758499,1.083334,2.164275
tanh,Multi-threaded,2,16,0,0,4.463807,0.042075,0.060679,0.013596,0.019198,0.000153,0.000195
tanh,Multi-threaded,2,16,100,0,4.381697,1.401320,1.936420,1.351641,1.864602,0.016007,0.017485
tanh,Multi-threaded,2,16,200,0,4.041314,2.752678,3.801431,2.679942,3.695549,0.031824,0.034850
tanh,Multi-threaded,2,16,300,0,3.740922,4.109877,5.673621,4.014968,5.530791,0.047364,0.052333
tanh,Multi-threaded,2,16,400,0,3.513139,5.466436,7.548432,5.350930,7.375723,0.063020,0.069569
tanh,Multi-threaded,2,16,500,0,3.351855,6.819982,9.409909,6.684215,9.207079,0.079386,0.087113
tanh,Multi-threaded,2,16,600,0,3.227685,8.179979,11.271166,8.021920,11.035027,0.094726,0.104385
tanh,Multi-threaded,2,16,700,0,3.122863,9.541302,13.138382,9.361205,12.868832,0.110730,0.121769
tanh,Multi-threaded,2,16,800,0,3.113907,10.910089,15.016314,10.704237,14.707366,0.127166,0.139459
tanh,Multi-threaded,2,16,900,0,3.016912,12.271051,16.886589,12.042957,16.550945,0.143089,0.157193
tanh,Multi-threaded,2,16,1000,0,2.982154,13.627266,18.747528,13.376631,18.390115,0.158883,0.174634
tanh,Multi-threaded,2,32,0,0,4.419259,0.041465,0.059833,0.013736,0.019425,0.000149,0.000173
tanh,Multi-threaded,2,32,100,0,4.102875,1.428035,1.989305,1.387617,1.930843,0.021007,0.019589
tanh,Multi-threaded,2,32,200,0,3.634204,2.829664,3.931863,2.784537,3.864594,0.041750,0.039691
tanh,Multi-threaded,2,32,300,0,3.344220,4.208095,5.842212,4.158756,5.763622,0.061437,0.058301
tanh,Multi-threaded,2,32,400,0,3.174081,5.585570,7.750973,5.530101,7.654770,0.081428,0.077531
tanh,Multi-threaded,2,32,500,0,3.080252,6.960080,9.660457,6.896973,9.546825,0.100400,0.096055
tanh,Multi-threaded,2,32,600,0,3.014951,8.345125,11.581951,8.272656,11.449549,0.120916,0.115799
tanh,Multi-threaded,2,32,700,0,2.958464,9.720150,13.494012,9.646199,13.358450,0.140526,0.134909
