Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.498988,0.007951,0.002461
tanh,1000,0,2.899225,3.103730,2.966851
tanh,2000,0,2.684256,6.263942,6.000335
tanh,3000,0,2.552143,8.966220,8.310627
tanh,4000,0,2.425642,11.673824,10.624250
tanh,5000,0,2.384288,14.546314,13.189645
tanh,6000,0,2.325183,17.491361,15.862849
tanh,7000,0,2.314218,20.256313,18.265787
tanh,8000,0,2.262456,22.994708,20.622762
tanh,9000,0,2.235900,25.927626,23.213162
tanh,10000,0,2.199790,28.926864,25.866919
tanh,11000,0,2.196390,31.906065,28.534115
tanh,12000,0,2.209358,34.857329,31.133150
tanh,13000,0,2.242858,37.761313,33.677672
tanh,14000,0,2.194134,40.648378,36.201139
tanh,15000,0,2.189371,43.550771,38.744419
tanh,16000,0,2.148614,46.480083,41.348003
tanh,17000,0,2.135404,49.334909,43.839974
tanh,18000,0,2.089423,52.323933,46.524141
tanh,19000,0,2.075294,55.262871,49.112086
tanh,20000,0,2.093054,58.057566,51.506619
tanh,21000,0,2.064153,60.843108,53.890833
tanh,22000,0,2.031296,63.757230,56.473359
tanh,23000,0,2.201534,66.760997,59.212371
tanh,24000,0,2.133409,69.839297,62.070477
tanh,25000,0,2.098359,72.657855,64.510975
tanh,26000,0,2.104378,75.728973,67.348584
tanh,27000,0,2.067214,78.583364,69.857253
tanh,28000,0,2.086972,81.729585,72.828293
tanh,29000,0,2.080406,84.495688,75.188622
tanh,30000,0,2.018913,87.487730,77.898021
tanh,31000,0,1.989369,90.384505,80.453274
tanh,32000,0,1.959801,93.251280,82.966750
tanh,33000,0,1.922968,96.050158,85.374697
tanh,34000,0,1.962170,98.906975,87.867554
tanh,35000,0,1.934911,101.961939,90.681540
tanh,36000,0,1.947738,104.787565,93.140516
tanh,37000,0,1.885678,107.939446,96.117903
tanh,38000,0,1.886244,110.763198,98.588228
tanh,39000,0,1.854885,113.773909,101.336088
tanh,40000,0,1.898724,116.870046,104.223487
tanh,41000,1,1.923081,119.695799,106.683058
tanh,42000,1,1.913498,122.610141,109.255754
tanh,43000,1,1.938840,125.475855,111.784899
tanh,44000,1,1.902711,128.255667,114.157895
tanh,45000,1,1.933687,131.156547,116.729467
tanh,46000,1,1.932414,134.141045,119.424962
tanh,47000,1,1.879093,137.082529,122.053520
tanh,48000,1,1.841063,139.862287,124.447048
tanh,49000,1,1.915233,142.953929,127.322202
tanh,50000,1,1.878152,145.712551,129.672354
tanh,51000,1,1.875500,148.640674,132.289785
tanh,52000,1,1.826504,151.844418,135.335456
tanh,53000,1,1.961334,154.723976,137.865800
tanh,54000,1,1.927117,157.523957,140.269098
tanh,55000,1,1.894890,160.380854,142.760694
tanh,56000,1,1.896145,163.113561,145.079302
tanh,57000,1,1.865393,165.833162,147.379706
tanh,58000,1,1.885525,168.884916,150.171934
tanh,59000,1,1.826634,171.763633,152.710104
tanh,60000,1,1.863861,174.504888,155.032638
tanh,61000,1,1.842165,177.348713,157.506254
tanh,62000,1,1.842315,180.286198,160.126866
tanh,63000,1,2.007472,183.236764,162.781901
tanh,64000,1,2.002248,186.176364,165.409267
tanh,65000,1,1.905900,189.519475,168.666456
tanh,66000,1,1.899360,192.360098,171.131086
tanh,67000,1,1.967512,195.338352,173.828708
tanh,68000,1,1.877680,198.250987,176.413940
tanh,69000,1,1.946477,201.097973,178.903771
tanh,70000,1,1.924622,204.283031,181.929301
tanh,71000,1,1.793220,207.349818,184.788771
tanh,72000,1,1.779068,210.248128,187.365130
tanh,73000,1,1.758337,213.227825,190.091827
tanh,74000,1,1.792038,216.081881,192.589234
tanh,75000,1,1.747144,218.992177,195.198170
tanh,76000,1,1.747052,221.906826,197.809666
tanh,77000,1,1.795050,224.640596,200.119490
tanh,78000,1,1.784631,227.448717,202.553898
tanh,79000,1,1.709585,230.494907,205.374321
tanh,80000,1,1.731145,233.319206,207.835388
tanh,81000,1,1.747991,236.811224,211.402210
tanh,82000,2,1.862091,239.828737,214.185306
tanh,83000,2,1.783283,242.817410,216.920807
tanh,84000,2,1.798642,245.875094,219.769829
tanh,85000,2,1.820106,248.937786,222.633637
tanh,86000,2,1.728976,251.743944,225.063868
tanh,87000,2,1.776251,254.831116,227.961688
tanh,88000,2,1.885270,258.001399,230.981369
tanh,89000,2,1.762707,260.910075,233.575499
tanh,90000,2,1.750866,263.716042,236.011403
tanh,91000,2,1.746479,266.633664,238.628955
tanh,92000,2,1.707798,269.504576,241.168731
tanh,93000,2,1.748753,272.233361,243.477402
tanh,94000,2,1.784613,275.091083,245.979221
tanh,95000,2,1.720941,277.978667,248.544670
tanh,96000,2,1.759002,280.960640,251.286303
tanh,97000,2,1.809353,283.845409,253.836357
tanh,98000,2,1.754290,286.739458,256.398396
tanh,99000,2,1.746005,289.586804,258.903788
