Function,Relative Time
baseline,0
plus,6.70105
minus,8.61442
mult,8.65855
div,15.8241
sqrt,4.81185
log,51.1556
exp,47.3343
leaky_relu,8.90813
relu,5.69965
elu,3.50379
sigmoid,58.8839
soft,5.50218
tanh,167.901
tanf,20.1346
