Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.629266,0.797984,0.643944
tanh,1000,0,2.305698,273.601169,680.697349
tanh,2000,0,1.979832,529.407048,1352.313909
tanh,3000,0,1.764505,771.822529,2028.414033
tanh,4000,0,1.671608,1014.800404,2706.801881
tanh,5000,0,1.666962,1261.302849,3375.589844
tanh,6000,0,1.576555,1516.564904,4037.200039
tanh,7000,0,1.599242,1762.030259,4708.851007
tanh,8000,0,1.529467,2022.447926,5364.304701
tanh,9000,0,1.477063,2284.965113,6020.022265
tanh,10000,0,1.437850,2545.775942,6676.092412
tanh,11000,0,1.504960,2807.458840,7328.074916
tanh,12000,0,1.543198,3076.523634,7978.725189
tanh,13000,0,1.551120,3341.825107,8630.785545
tanh,14000,0,1.530100,3607.334954,9284.416632
tanh,15000,0,1.477799,3871.402628,9934.505685
tanh,16000,0,1.425692,4138.557257,10589.140398
tanh,17000,0,1.428925,4404.216764,11239.791237
tanh,18000,0,1.371407,4668.445724,11889.493019
tanh,19000,0,1.418354,4934.615216,12539.048809
tanh,20000,0,1.430207,5204.017795,13188.235554
tanh,21000,0,1.353934,5469.267671,13848.791775
tanh,22000,0,1.348434,5738.236421,14509.870605
tanh,23000,0,1.624267,6002.517988,15158.467495
tanh,24000,0,1.524711,6269.654679,15809.625840
tanh,25000,0,1.491086,6534.939893,16469.316228
tanh,26000,0,1.487179,6793.986736,17122.734471
tanh,27000,0,1.470389,7055.692945,17770.237367
tanh,28000,0,1.464882,7314.914116,18422.368090
tanh,29000,0,1.479766,7575.449997,19075.808568
tanh,30000,0,1.387112,7838.945120,19730.584267
tanh,31000,0,1.331523,8096.146807,20389.658002
tanh,32000,0,1.328764,8360.137588,21045.210588
tanh,33000,0,1.287035,8625.589206,21701.082058
tanh,34000,0,1.303390,8889.043035,22359.711417
tanh,35000,0,1.297109,9153.457486,23017.503853
tanh,36000,0,1.305070,9419.952582,23674.320695
tanh,37000,0,1.214882,9686.460734,24331.580065
tanh,38000,0,1.260034,9951.140038,24990.676044
tanh,39000,0,1.239251,10217.852862,25649.329408
tanh,40000,0,1.248787,10483.540406,26309.122864
tanh,41000,1,1.359236,10749.108783,26964.474702
tanh,42000,1,1.333179,11012.047386,27620.247255
tanh,43000,1,1.348510,11274.433162,28278.234197
tanh,44000,1,1.287411,11541.534591,28929.889732
tanh,45000,1,1.399608,11805.937460,29582.612222
tanh,46000,1,1.317476,12071.327607,30234.154173
tanh,47000,1,1.317056,12332.738711,30887.974728
tanh,48000,1,1.252131,12598.026670,31540.610467
tanh,49000,1,1.337756,12847.049800,32153.517480
