Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.582464,0.111875,0.065467
tanf,1000,0,2.389349,39.535176,72.398407
tanf,2000,0,2.172644,78.897725,144.488986
tanf,3000,0,2.006666,118.426963,216.584981
tanf,4000,0,1.909150,159.297886,295.257249
tanf,5000,0,1.884247,200.390688,374.748789
tanf,6000,0,1.796452,241.347415,453.801528
tanf,7000,0,1.788517,282.099057,532.719647
tanf,8000,0,1.738902,322.796829,612.432374
tanf,9000,0,1.683919,363.807676,691.763728
tanf,10000,0,1.632869,404.731289,768.850178
tanf,11000,0,1.695750,445.203928,840.063951
tanf,12000,0,1.721619,485.621851,911.671532
tanf,13000,0,1.748835,526.157031,983.593383
tanf,14000,0,1.725536,566.864456,1055.221154
tanf,15000,0,1.667595,607.482161,1127.411874
tanf,16000,0,1.608435,648.262179,1200.021597
tanf,17000,0,1.603043,688.856460,1272.170383
tanf,18000,0,1.563206,729.864810,1345.049405
tanf,19000,0,1.572172,770.608094,1416.699333
tanf,20000,0,1.598340,811.267769,1488.309053
tanf,21000,0,1.526528,852.043812,1559.888492
tanf,22000,0,1.492583,892.587526,1631.244385
tanf,23000,0,1.781980,933.253061,1702.630754
tanf,24000,0,1.678623,973.990285,1774.797222
tanf,25000,0,1.639932,1014.856390,1847.402624
tanf,26000,0,1.640833,1055.760042,1921.309723
tanf,27000,0,1.620309,1096.435597,1994.120064
tanf,28000,0,1.602825,1137.362976,2067.146838
tanf,29000,0,1.624074,1178.142807,2139.511325
tanf,30000,0,1.536288,1219.227561,2211.809941
tanf,31000,0,1.472528,1260.184946,2284.998113
tanf,32000,0,1.464305,1301.250795,2357.881024
tanf,33000,0,1.407927,1342.288357,2430.835508
tanf,34000,0,1.439150,1383.189771,2503.998463
tanf,35000,0,1.424762,1423.928542,2577.081972
tanf,36000,0,1.452010,1464.885623,2650.675204
tanf,37000,0,1.350367,1505.920784,2723.404289
tanf,38000,0,1.382389,1546.756099,2796.001057
tanf,39000,0,1.350235,1587.645371,2868.861732
tanf,40000,0,1.376052,1628.394440,2941.013014
tanf,41000,1,1.469224,1669.125292,3013.663977
tanf,42000,1,1.449423,1709.807591,3085.986939
tanf,43000,1,1.472438,1750.743663,3159.335705
tanf,44000,1,1.406769,1791.345345,3231.336090
tanf,45000,1,1.514738,1831.912342,3302.253116
tanf,46000,1,1.446438,1872.476559,3374.583049
tanf,47000,1,1.418348,1912.836006,3446.335217
tanf,48000,1,1.358051,1953.239905,3517.301024
tanf,49000,1,1.451615,1993.902098,3588.446110
