Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.439668,0.443824,0.473400
tanf,1000,0,2.560013,145.633806,490.112756
tanf,2000,0,2.385739,288.279956,973.152062
tanf,3000,0,2.256297,430.792823,1446.806160
tanf,4000,0,2.145991,573.840458,1922.388694
tanf,5000,0,2.105696,719.405062,2405.780972
tanf,6000,0,1.997875,863.954886,2889.444353
tanf,7000,0,1.986176,1008.471437,3373.789920
tanf,8000,0,1.925173,1151.586436,3857.407158
tanf,9000,0,1.863304,1295.965156,4339.501479
tanf,10000,0,1.805244,1440.979280,4821.739483
tanf,11000,0,1.842281,1586.468539,5300.981621
tanf,12000,0,1.853227,1731.350314,5783.518102
tanf,13000,0,1.865592,1875.278935,6267.176261
tanf,14000,0,1.829281,2019.871826,6748.754618
tanf,15000,0,1.774935,2163.728394,7233.231504
tanf,16000,0,1.705250,2308.299220,7715.293591
tanf,17000,0,1.671397,2452.599929,8195.827992
tanf,18000,0,1.637335,2597.103757,8680.805350
tanf,19000,0,1.635763,2741.162600,9174.386279
tanf,20000,0,1.648858,2885.771912,9665.675047
tanf,21000,0,1.579778,3030.687255,10153.872051
tanf,22000,0,1.540258,3175.502128,10640.868746
tanf,23000,0,1.827862,3320.363192,11131.849861
tanf,24000,0,1.718720,3465.076297,11622.032350
tanf,25000,0,1.681042,3609.482892,12117.678488
tanf,26000,0,1.661412,3754.276389,12614.743189
tanf,27000,0,1.634722,3897.886925,13112.854186
tanf,28000,0,1.621453,4040.101911,13608.514021
tanf,29000,0,1.633296,4182.189042,14097.500690
tanf,30000,0,1.569824,4324.475484,14589.000899
tanf,31000,0,1.487266,4467.910998,15078.861441
tanf,32000,0,1.481701,4607.454165,15571.899307
tanf,33000,0,1.420286,4747.208292,16064.654680
tanf,34000,0,1.429999,4890.786791,16558.606877
tanf,35000,0,1.429816,5035.522348,17059.285416
tanf,36000,0,1.437858,5178.171529,17560.388751
tanf,37000,0,1.333217,5319.704069,18049.162072
tanf,38000,0,1.377268,5462.403604,18534.905670
tanf,39000,0,1.336337,5604.374434,19022.464563
tanf,40000,0,1.370821,5748.414013,19505.553136
tanf,41000,1,1.473792,5891.837360,19990.375260
tanf,42000,1,1.456999,6035.258395,20475.019598
tanf,43000,1,1.473869,6178.638809,20961.980328
tanf,44000,1,1.396044,6322.585615,21447.763024
tanf,45000,1,1.523296,6467.466235,21938.200979
