Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.434219,0.004900,0.001939
tanf,1000,0,2.969768,1.535278,1.597871
tanf,2000,0,2.797585,3.013469,3.138111
tanf,3000,0,2.687416,4.598713,4.799997
tanf,4000,0,2.555438,6.042397,6.298318
tanf,5000,0,2.513457,7.529248,7.848151
tanf,6000,0,2.454372,8.981778,9.358241
tanf,7000,0,2.418000,10.435870,10.869168
tanf,8000,0,2.396708,11.905298,12.398542
tanf,9000,0,2.380021,13.392106,13.949604
tanf,10000,0,2.345528,14.852059,15.475063
tanf,11000,0,2.350480,16.292670,16.980589
tanf,12000,0,2.338001,17.727924,18.482092
tanf,13000,0,2.382918,19.185051,20.007488
tanf,14000,0,2.328817,20.634155,21.523464
tanf,15000,0,2.329168,22.099315,23.056001
tanf,16000,0,2.295308,23.542568,24.559456
tanf,17000,0,2.295516,24.994281,26.062737
tanf,18000,0,2.240662,26.447095,27.569057
tanf,19000,0,2.229175,27.907233,29.082017
tanf,20000,0,2.251608,29.364398,30.591329
tanf,21000,0,2.235673,30.830493,32.117304
tanf,22000,0,2.209663,32.301243,33.645185
tanf,23000,0,2.299037,33.758277,35.154182
tanf,24000,0,2.255370,35.198944,36.652587
tanf,25000,0,2.223306,36.659576,38.172543
tanf,26000,0,2.228068,38.111292,39.686539
tanf,27000,0,2.188104,39.564824,41.198132
tanf,28000,0,2.213340,41.025106,42.710345
tanf,29000,0,2.205034,42.478977,44.221544
tanf,30000,0,2.162072,43.920700,45.724194
tanf,31000,0,2.145756,45.377480,47.235674
tanf,32000,0,2.117834,46.823082,48.743012
tanf,33000,0,2.101793,48.273680,50.250653
tanf,34000,0,2.112034,49.722216,51.755782
tanf,35000,0,2.103911,51.165143,53.250164
tanf,36000,0,2.115105,52.600229,54.738451
tanf,37000,0,2.072836,54.045429,56.237871
tanf,38000,0,2.063999,55.492814,57.746153
tanf,39000,0,2.040046,56.951969,59.263437
tanf,40000,0,2.076279,58.403523,60.770214
tanf,41000,1,2.092701,59.850902,62.278298
tanf,42000,1,2.081742,61.293362,63.783770
tanf,43000,1,2.108831,62.728005,65.281092
tanf,44000,1,2.079629,64.171884,66.784612
tanf,45000,1,2.103416,65.610855,68.286648
tanf,46000,1,2.098946,67.048558,69.778341
tanf,47000,1,2.059990,68.475481,71.261710
tanf,48000,1,2.036768,69.916696,72.767380
tanf,49000,1,2.089669,71.360182,74.268767
