Func,Iteration,Epoc,Loss,FWtime,BWtime
tanf,0,0,4.470423,0.003880,0.001389
tanf,1000,0,3.067458,1.315208,1.466536
tanf,2000,0,2.831589,2.692568,3.010468
tanf,3000,0,2.709891,4.036101,4.530751
tanf,4000,0,2.590126,5.362991,6.033968
tanf,5000,0,2.554658,6.691020,7.533683
tanf,6000,0,2.513111,8.029103,9.038358
tanf,7000,0,2.494648,9.338572,10.501041
tanf,8000,0,2.459460,10.691809,12.020012
tanf,9000,0,2.459181,12.031908,13.516514
tanf,10000,0,2.422980,13.635504,15.347056
tanf,11000,0,2.419308,15.117866,17.018449
tanf,12000,0,2.428331,16.496523,18.573553
tanf,13000,0,2.471801,17.833857,20.088707
tanf,14000,0,2.412698,19.165256,21.587314
tanf,15000,0,2.414133,20.500953,23.090040
tanf,16000,0,2.381212,21.844440,24.603657
tanf,17000,0,2.385091,23.137185,26.048053
tanf,18000,0,2.313274,24.494719,27.606803
tanf,19000,0,2.300699,25.862002,29.131777
tanf,20000,0,2.331616,27.240621,30.716069
tanf,21000,0,2.309588,28.579866,32.238926
tanf,22000,0,2.283460,29.916161,33.740330
tanf,23000,0,2.370813,31.270621,35.266591
tanf,24000,0,2.323653,32.574780,36.735203
tanf,25000,0,2.291942,33.907181,38.235394
tanf,26000,0,2.275109,35.266636,39.787381
tanf,27000,0,2.260764,36.605221,41.293568
tanf,28000,0,2.269871,37.919190,42.779670
tanf,29000,0,2.272666,39.281437,44.331700
tanf,30000,0,2.226945,40.644433,45.901318
tanf,31000,0,2.223942,41.985821,47.401821
tanf,32000,0,2.183075,43.318792,48.904125
tanf,33000,0,2.155228,44.657228,50.415480
tanf,34000,0,2.179825,45.999497,51.932077
tanf,35000,0,2.176803,47.289921,53.363816
tanf,36000,0,2.175164,48.611038,54.862240
tanf,37000,0,2.137081,49.935109,56.367090
tanf,38000,0,2.116484,51.257185,57.853415
tanf,39000,0,2.095261,52.590468,59.381063
tanf,40000,0,2.129607,53.913196,60.868953
tanf,41000,1,2.142754,55.233945,62.363734
tanf,42000,1,2.136357,56.553676,63.845268
tanf,43000,1,2.161680,57.892723,65.349898
tanf,44000,1,2.133196,59.211618,66.843220
tanf,45000,1,2.151880,60.548829,68.370356
tanf,46000,1,2.166857,61.896206,69.875472
tanf,47000,1,2.104642,63.223774,71.367727
tanf,48000,1,2.092114,64.557845,72.883209
tanf,49000,1,2.144559,65.942524,74.454852
