Func,Iteration,Epoc,Loss,FWtime,BWtime
tanh,0,0,4.444317,0.104183,0.101454
tanh,1000,0,2.619892,38.049801,97.987436
tanh,2000,0,2.453460,76.063001,195.428866
tanh,3000,0,2.347932,113.982855,292.361884
tanh,4000,0,2.242025,152.301807,389.194738
tanh,5000,0,2.206657,190.899711,488.243403
tanh,6000,0,2.120900,231.023441,595.429167
tanh,7000,0,2.101439,269.294793,692.300083
tanh,8000,0,2.054071,307.739305,789.418130
tanh,9000,0,2.007523,345.888918,887.386937
tanh,10000,0,1.965786,384.143986,985.527425
tanh,11000,0,1.985293,421.317702,1067.109924
tanh,12000,0,1.996950,458.528327,1147.939149
tanh,13000,0,2.022539,495.626291,1229.004288
tanh,14000,0,1.983285,532.742812,1307.782382
tanh,15000,0,1.947650,570.108190,1387.406898
tanh,16000,0,1.884866,607.374135,1468.601689
tanh,17000,0,1.853779,644.504374,1550.024029
tanh,18000,0,1.819061,681.854296,1630.548128
tanh,19000,0,1.806979,719.199904,1712.864462
tanh,20000,0,1.828196,756.380391,1793.968757
tanh,21000,0,1.767042,793.651852,1875.467951
tanh,22000,0,1.722232,830.896121,1955.137927
tanh,23000,0,1.972477,868.202496,2035.796249
tanh,24000,0,1.877500,905.685274,2117.680689
tanh,25000,0,1.845145,943.713251,2204.238343
tanh,26000,0,1.829611,981.710855,2290.969313
tanh,27000,0,1.796612,1019.248441,2373.613977
tanh,28000,0,1.785794,1056.808837,2456.592312
tanh,29000,0,1.797889,1094.508036,2541.157731
tanh,30000,0,1.732134,1132.204542,2623.749616
tanh,31000,0,1.663089,1169.411964,2703.166481
tanh,32000,0,1.652196,1206.511262,2783.909616
tanh,33000,0,1.585842,1243.560656,2865.557695
tanh,34000,0,1.608164,1280.888829,2946.522704
tanh,35000,0,1.596714,1318.572653,3029.482522
tanh,36000,0,1.600549,1355.781355,3110.450543
tanh,37000,0,1.508423,1392.867159,3190.679845
tanh,38000,0,1.535489,1429.972234,3271.540650
tanh,39000,0,1.495441,1467.148600,3352.471256
tanh,40000,0,1.534291,1504.510175,3434.665641
tanh,41000,1,1.628539,1541.488951,3517.002554
tanh,42000,1,1.601954,1578.848604,3597.871007
tanh,43000,1,1.609489,1616.016944,3679.487795
tanh,44000,1,1.547459,1653.107472,3759.733801
tanh,45000,1,1.652620,1690.250948,3840.155549
tanh,46000,1,1.582005,1727.755620,3920.630050
tanh,47000,1,1.551847,1766.038592,3993.495832
tanh,48000,1,1.488714,1804.459877,4067.046692
tanh,49000,1,1.564473,1842.833386,4140.576878
